"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"41281","03/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41282","02/28/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41283","06/28/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41284","06/10/2013",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41285","03/28/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41286","01/31/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41287","01/31/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41288","05/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41289","05/31/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41290","02/08/2013",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41291","06/12/2013",2014,2500,"PI","SYSTEMS MANAGER","BANK OF AMERICA","Bank of America","n0001169945 "
"41292","06/16/2013",2014,1000,"PI","FINANCIAL ADVISOR","MORGAN STANLEY","","n0001172345 "
"41293","06/21/2013",2014,500,"RL","FINANCIAL ADVISOR","MORGAN STANLEY","[24T Contribution]","m0001536589 "
"41294","06/17/2013",2014,250,"DL","SVP, STRATEGIC ALLIANCE EXECUTIVE","BANK OF AMERICA","[24T Contribution]","m0001286894 "
"41295","07/23/2013",2014,1000,"PB","ADVISOR","MERRILL LYNCH","","e1110754487 "
"41296","05/22/2014",2014,251,"DL","ADVISOR","MORGAN STANLEY","Morgan Stanley","n0001371568 "
"41297","06/03/2013",2014,1000,"RW","BANK MANAGER","REGIONS BANK","Regions Financial","k0001130169 "
"41298","06/30/2014",2014,1000,"RP","CFP","WELLS FARGO","Wells Fargo Advisors","j10017122421"
"41299","07/15/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","e1110653977 "
"41300","07/31/2013",2014,208,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","m0001729154 "
"41301","07/31/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","b06083815681"
"41302","07/25/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","g1100876039 "
"41303","07/15/2013",2014,210,"PB","PRESIDENT- UST","BANK OF AMERICA","","n0001184986 "
"41304","07/31/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","e1110653977 "
"41305","07/15/2013",2014,208,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","m0001729154 "
"41306","07/31/2013",2014,210,"PB","PRESIDENT- UST","BANK OF AMERICA","","n0001184986 "
"41307","01/22/2013",2014,250,"DP","BANKING","WELLS FARGO","Wells Fargo","h3001363442 "
"41308","07/31/2013",2014,5000,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","h3001396373 "
"41309","07/31/2013",2014,526,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","k0001294753 "
"41310","07/31/2013",2014,500,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","Y0000033985L"
"41311","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h1001113288 "
"41312","07/31/2013",2014,625,"PB","EXECUTIVE","GOLDMAN SACHS","","n0001144949 "
"41313","07/31/2013",2014,625,"PB","EXECUTIVE","GOLDMAN SACHS","","n0001134856 "
"41314","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h1001199308 "
"41315","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","U00000043331"
"41316","07/31/2013",2014,625,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","k0001515720 "
"41317","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h30013720231"
"41318","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","m0001536468 "
"41319","07/31/2013",2014,625,"PB","EXECUTIVE","GOLDMAN SACHS","","h3001796275 "
"41320","07/31/2013",2014,526,"PB","MANAGING DIRECTOR","GOLDMAN SACHS","","m0001918354 "
"41321","07/31/2013",2014,625,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","i3003218303 "
"41322","07/31/2013",2014,500,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","i3003665682 "
"41323","02/28/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41324","01/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41325","04/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41326","01/31/2013",2014,250,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0001389398 "
"41327","07/09/2013",2014,3000,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","i3003424160 "
"41328","07/31/2013",2014,625,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","h10011130151"
"41329","07/31/2013",2014,625,"PB","EXECUTIVE","GOLDMAN SACHS","","j1001930727 "
"41330","07/31/2013",2014,555,"PB","EXECUTIVE","GOLDMAN SACHS","","j1001299373 "
"41331","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h30017729671"
"41332","07/31/2013",2014,625,"PB","EXECUTIVE","GOLDMAN SACHS","","n0001141589 "
"41333","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h10011114711"
"41334","07/31/2013",2014,526,"PB","EXECUTIVE","GOLDMAN SACHS","","k0001283566 "
"41335","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","m0001522598 "
"41336","07/31/2013",2014,666,"PB","EXECUTIVE","GOLDMAN SACHS","","n0001612649 "
"41337","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","m0001492918 "
"41338","07/31/2013",2014,500,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","k0001385252 "
"41339","07/31/2013",2014,500,"PB","EXECUTIVE","GOLDMAN SACHS","","h30017513971"
"41340","07/31/2013",2014,769,"PB","INVESTMENT BANKER","GOLDMAN SACHS","","f1000640257 "
"41341","07/12/2013",2014,625,"PB","DIRECTOR","REGIONS BANK","","n0001130355 "
"41342","07/12/2013",2014,250,"PB","DIRECTOR","REGIONS BANK","","h30011933911"
"41343","07/11/2013",2014,1500,"PB","EXEC VICE PRESIDENT","REGIONS BANK","","m0001270522 "
"41344","07/12/2013",2014,250,"PB","DIRECTOR","REGIONS BANK","","m0002110620 "
"41345","07/31/2013",2014,416,"PB","REGIONAL PRESIDENT","REGIONS BANK","","k00015977531"
"41346","07/31/2013",2014,416,"PB","CHIEF FINANCIAL OFFICER","REGIONS BANK","","h1001373281 "
"41347","07/12/2013",2014,1250,"PB","DIRECTOR","REGIONS BANK","","n0001129496 "
"41348","07/31/2013",2014,416,"PB","CHIEF EXECUTIVE OFFICER","REGIONS BANK","","j1991840641 "
"41349","08/20/2014",2014,1000,"PB","BANKER","MERRILL LYNCH","","n0001425956 "
"41350","06/19/2013",2014,250,"RW","PRESIDENT","FIRST BANK","First Bank Holding","g00106462051"
"41351","08/15/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","b06083815681"
"41352","08/23/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","g1100876039 "
"41353","08/15/2013",2014,208,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","m0001729154 "
"41354","08/15/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","e1110653977 "
"41355","08/30/2013",2014,208,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","m0001729154 "
"41356","08/13/2013",2014,250,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","n0001166359 "
"41357","08/30/2013",2014,200,"PB","MANAGING DIRECTOR","BANK OF AMERICA","","e1110653977 "
"41358","08/27/2013",2014,250,"PB","EXECUTIVE VICE PRESIDENT","BANK OF AMERICA","","j1002148965 "
"41359","08/15/2013",2014,300,"PB","SENIOR VICE PRESIDENT","BANK OF AMERICA","","k0001576226 "
"41360","08/15/2013",2014,210,"PB","PRESIDENT- UST","BANK OF AMERICA","","n0001184986 "
"41361","08/30/2013",2014,210,"PB","PRESIDENT- UST","BANK OF AMERICA","","n0001184986 "
"41362","08/23/2013",2014,500,"PB","DEPUTY GENERAL COUNSEL","BANK OF AMERICA","","i3003763467 "
