cycle,bank_name,share_donations_d,n_donations_all,dem_55,dem_60,share_donations_d_imp,n_donations_imp,dem_55_imp,dem_60_imp,dem_dollar,gop_dollar,gvkey_bank,kempf_share,kempf_dem
2010,Fifth Third Bank,0.3333333333333333,3,FALSE,FALSE,1,1,TRUE,TRUE,25250,93575,4640,0.21249737008205344,0
2010,First Bank National Association,0.2727272727272727,22,FALSE,FALSE,0.25,4,FALSE,FALSE,NA,NA,NA,NA,NA
2010,Goldman Sachs and Company,0.5795053003533569,283,TRUE,NA,0.5263157894736842,19,NA,NA,1179027,2191993,114628,0.3497537837212476,0
2010,Jefferies,0.6363636363636364,11,TRUE,TRUE,1,2,TRUE,TRUE,NA,NA,NA,NA,NA
2010,JP Morgan,0.4157303370786517,178,FALSE,NA,0.6153846153846154,13,TRUE,TRUE,992141,1411405,2968,0.4127821976363257,0
2010,Keybank,0.4,10,FALSE,FALSE,0.75,4,TRUE,TRUE,47250,71700,9783,0.39722572509457754,0
2010,Mandt Bank,0.3333333333333333,6,FALSE,FALSE,1,2,TRUE,TRUE,65900,7200,4699,0.9015047879616963,1
2010,Morgan Stanley,0.39111111111111113,450,FALSE,FALSE,0.3488372093023256,43,FALSE,FALSE,776485,1262346,12124,0.3808481428818769,0
2010,Northern Trust Corporation,0.5641025641025641,39,TRUE,NA,0.8333333333333334,6,TRUE,TRUE,80666,65325,7982,0.5525409100560994,1
2010,PNC Bank,0.43333333333333335,30,FALSE,NA,0.7,10,TRUE,TRUE,106312,150017,8245,0.41474823371526437,0
2010,Regions Bank,0.23333333333333334,30,FALSE,FALSE,0.2222222222222222,9,FALSE,FALSE,66472,214540,4674,0.23654505857401106,0
2010,Southtrust Bank,0,1,FALSE,FALSE,0,1,FALSE,FALSE,NA,NA,NA,NA,NA
2010,State Street Bank,0.6363636363636364,11,TRUE,TRUE,0.3333333333333333,3,FALSE,FALSE,58155,36785,10035,0.6125447651148094,1
2010,SVB Financial Group,0.8,5,TRUE,TRUE,1,1,TRUE,TRUE,30340,5500,17120,0.8465401785714286,1
2010,Truist Financial,0.18181818181818182,55,FALSE,FALSE,0.25,16,FALSE,FALSE,57850,316632,11856,0.15448005511613375,0
2010,Wells Fargo and Company,0.3074433656957929,309,FALSE,FALSE,0.28,25,FALSE,FALSE,661276,1448345,8007,0.31345725132618607,0
2012,Bank of New York Mellon,0.5581395348837209,86,TRUE,NA,0.46153846153846156,13,NA,NA,822457,956318,2019,0.46237270031341793,NA
2012,Bofa Securities,0.32367149758454106,1035,FALSE,FALSE,0.4074074074074074,81,FALSE,NA,131570,774848,11856,0.14515378114732938,0
2012,Cit Group Incorporated,0.07142857142857142,14,FALSE,FALSE,0,7,FALSE,FALSE,45144,298570,149738,0.13134175506380305,0
2012,Citi,0.44047619047619047,84,FALSE,NA,0.5,8,NA,NA,1187255,1613058,3243,0.4239722488164716,0
